GAME_ID,GAME_DATE,TEAM_ABBREVIATION_x,GAME_NO_x,AVG_PTS_x,AVG_AST_x,AVG_OREB_x,AVG_DREB_x,OFF_EFF_x,DEF_EFF_x,ELO_x,TEAM_ABBREVIATION_y,GAME_NO_y,AVG_PTS_y,AVG_AST_y,AVG_OREB_y,AVG_DREB_y,OFF_EFF_y,DEF_EFF_y,ELO_y,DIS_PTS,DIS_AST,DIS_OREB,DIS_DREB,DIS_OFF_EFF,DIS_DEF_EFF,DIS_ELO,PREDICTION,WL_x,MIN_x,PTS_x,FGM_x,FGA_x,FG_PCT_x,FG3M_x,FG3A_x,FG3_PCT_x,FTM_x,FTA_x,FT_PCT_x,OREB_x,DREB_x,REB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PLUS_MINUS_x,WL_y,MIN_y,PTS_y,FGM_y,FGA_y,FG_PCT_y,FG3M_y,FG3A_y,FG3_PCT_y,FTM_y,FTA_y,FT_PCT_y,OREB_y,DREB_y,REB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PLUS_MINUS_y
0022000005,2020-12-25,MIA,2.0,107.0,25.0,7.0,36.0,101.3258,107.0076,1490.0,NOP,2.0,113.0,30.0,8.0,37.0,108.6538,95.1923,1510.0,-6.0,-5.0,-1.0,-1.0,-7.328000000000003,11.815299999999993,-20.0,,1,237,111,38,75,0.507,16,37.0,0.432,19,23,0.826,4.0,31.0,35.0,29,11.0,2,17,25,13.0,0,238,98,31,78,0.397,10,35.0,0.286,26,33,0.788,11.0,30.0,41.0,18,8.0,2,19,20,-13.0
0022000006,2020-12-25,MIL,2.0,121.0,19.0,11.0,41.0,118.3953,119.3738,1490.0,GSW,2.0,99.0,26.0,13.0,34.0,87.4558,110.424,1490.0,22.0,-7.0,-2.0,7.0,30.93950000000001,8.949799999999996,0.0,,1,241,138,50,90,0.556,20,36.0,0.556,18,26,0.692,11.0,49.0,60.0,25,6.0,4,17,17,39.0,0,241,99,34,99,0.343,10,45.0,0.222,21,25,0.84,10.0,33.0,43.0,14,5.0,6,11,22,-39.0
0022000007,2020-12-25,BOS,2.0,122.0,23.0,10.0,27.0,120.3156,119.3294,1510.0,BKN,2.0,125.0,24.0,13.0,44.0,111.8068,88.551,1510.0,-3.0,-1.0,-3.0,-17.0,8.508800000000008,30.778400000000005,0.0,,0,241,95,37,98,0.378,8,27.0,0.296,13,19,0.684,20.0,27.0,47.0,23,6.0,5,15,27,-28.0,1,241,123,41,76,0.539,15,29.0,0.517,26,31,0.839,9.0,34.0,43.0,21,5.0,10,15,22,28.0
0022000008,2020-12-25,LAL,2.0,109.0,22.0,8.0,37.0,104.4061,111.1111,1490.0,DAL,2.0,102.0,17.0,6.0,33.0,101.5936,105.5777,1490.0,7.0,5.0,2.0,4.0,2.8125,5.5334,0.0,,1,237,138,51,91,0.56,19,39.0,0.487,17,24,0.708,17.0,36.0,53.0,33,9.0,4,16,23,23.0,0,239,115,41,83,0.494,13,32.0,0.406,20,26,0.769,3.0,24.0,27.0,20,13.0,3,9,22,-23.0
0022000009,2020-12-25,DEN,2.0,122.0,28.0,10.0,36.0,108.3481,110.1243,1490.0,LAC,2.0,116.0,22.0,11.0,29.0,109.8485,103.2197,1510.0,6.0,6.0,-1.0,7.0,-1.500399999999999,6.904600000000002,-20.0,,0,238,108,37,81,0.457,11,36.0,0.306,23,31,0.742,10.0,22.0,32.0,25,7.0,1,13,20,-13.0,1,239,121,41,74,0.554,19,38.0,0.5,20,24,0.833,9.0,29.0,38.0,32,9.0,4,18,32,13.0
0022000021,2020-12-26,MEM,2.0,119.0,27.0,5.0,37.0,109.9815,121.0721,1490.0,ATL,2.0,124.0,24.0,8.0,38.0,118.5468,99.4264,1510.0,-5.0,3.0,-3.0,-1.0,-8.565300000000008,21.645700000000005,-20.0,,0,240,112,37,93,0.398,13,43.0,0.302,25,29,0.862,9.0,37.0,46.0,20,5.0,6,10,27,-10.0,1,239,122,38,89,0.427,13,36.0,0.361,33,38,0.868,13.0,41.0,54.0,23,4.0,5,15,20,10.0
0022000023,2020-12-26,DET,2.0,101.0,29.0,7.0,37.0,99.8024,109.6838,1490.0,CLE,2.0,121.0,34.0,10.0,40.0,117.4757,110.6796,1510.0,-20.0,-5.0,-3.0,-3.0,-17.673299999999998,-0.9957999999999885,-20.0,,0,291,119,40,98,0.408,16,45.0,0.356,23,32,0.719,10.0,47.0,57.0,24,9.0,5,22,20,-9.0,1,291,128,48,99,0.485,13,30.0,0.433,19,30,0.633,7.0,44.0,51.0,29,13.0,4,18,24,9.0
0022000024,2020-12-26,WAS,2.0,107.0,28.0,5.0,35.0,98.8909,104.4362,1490.0,ORL,2.0,113.0,23.0,11.0,30.0,106.6038,100.9434,1510.0,-6.0,5.0,-6.0,5.0,-7.712900000000005,3.4928000000000026,-20.0,,0,240,120,46,95,0.484,13,37.0,0.351,15,28,0.536,7.0,36.0,43.0,28,5.0,3,14,25,-10.0,1,240,130,48,95,0.505,11,31.0,0.355,23,29,0.793,11.0,43.0,54.0,25,8.0,0,13,21,10.0
0022000025,2020-12-26,NYK,2.0,107.0,25.0,5.0,35.0,101.711,115.019,1490.0,PHI,2.0,113.0,22.0,10.0,37.0,107.619,101.9048,1510.0,-6.0,3.0,-5.0,-2.0,-5.908000000000001,13.114200000000011,-20.0,,0,240,89,32,83,0.386,8,29.0,0.276,17,23,0.739,13.0,30.0,43.0,19,6.0,4,16,23,-20.0,1,241,109,41,88,0.466,11,31.0,0.355,16,22,0.727,12.0,35.0,47.0,20,9.0,6,12,19,20.0
0022000026,2020-12-26,CHI,2.0,104.0,20.0,8.0,29.0,98.8593,117.8707,1490.0,IND,2.0,121.0,28.0,10.0,40.0,111.418,98.5267,1510.0,-17.0,-8.0,-2.0,-11.0,-12.558700000000002,19.343999999999994,-20.0,,0,240,106,34,91,0.374,16,39.0,0.41,22,25,0.88,13.0,28.0,41.0,23,7.0,7,20,16,-19.0,1,239,125,52,93,0.559,9,26.0,0.346,12,19,0.632,9.0,40.0,49.0,34,15.0,4,16,26,19.0
